Date,Open,High,Low,Close,Volume
2020-01-03 08:00:00,113.8,115.4,113.8,115.4,1.1027
2020-01-03 08:30:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 09:00:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 09:30:00,118.46,118.46,118.46,118.46,0.5
2020-01-03 10:00:00,118.46,118.46,118.46,118.46,0.0
2020-01-03 10:30:00,118.06,118.06,118.02,118.02,1.33288
2020-01-03 11:00:00,118.4,118.4,118.4,118.4,0.08539
2020-01-03 11:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 12:00:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 12:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 13:00:00,118.65,118.65,118.4,118.4,36.26909
2020-01-03 13:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 14:00:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 14:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 15:00:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 15:30:00,117.65,117.65,117.59,117.59,0.28882
2020-01-03 16:00:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 16:30:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 17:00:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 17:30:00,119.59,119.59,119.25,119.25,6.71017
2020-01-03 18:00:00,119.25,119.25,119.25,119.25,0.0
2020-01-03 18:30:00,119.67,119.67,119.65,119.65,0.95827
2020-01-03 19:00:00,119.05,119.05,119.05,119.05,0.3784
2020-01-03 19:30:00,119.56,119.63,119.56,119.63,0.8975
2020-01-03 20:00:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 20:30:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 21:00:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 21:30:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 22:00:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 22:30:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 23:00:00,119.3,120.0,119.3,120.0,1.25709
2020-01-03 23:30:00,120.0,120.0,120.0,120.0,1.00001
2020-01-04 00:00:00,120.0,120.0,120.0,120.0,0.0
2020-01-04 00:30:00,120.0,120.0,119.8,119.8,8.43101
2020-01-04 01:00:00,119.68,119.68,119.68,119.68,0.23889
2020-01-04 01:30:00,119.68,119.68,119.68,119.68,0.0
2020-01-04 02:00:00,119.68,119.68,119.68,119.68,0.0
2020-01-04 02:30:00,119.68,119.68,119.68,119.68,0.0
2020-01-04 03:00:00,119.68,119.68,119.68,119.68,0.0
2020-01-04 03:30:00,119.68,119.68,119.68,119.68,0.0
2020-01-04 04:00:00,119.31,119.31,119.31,119.31,0.09057
2020-01-04 04:30:00,119.31,119.31,119.31,119.31,0.0
2020-01-04 05:00:00,119.31,119.31,119.31,119.31,0.0
2020-01-04 05:30:00,119.68,119.68,119.68,119.68,0.2229
2020-01-04 06:00:00,119.64,119.64,119.64,119.64,0.1
2020-01-04 06:30:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 07:00:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 07:30:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 08:00:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 08:30:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 09:00:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 09:30:00,119.76,119.76,119.64,119.64,9.50397
2020-01-04 10:00:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 10:30:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 11:00:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 11:30:00,119.64,119.64,119.64,119.64,0.0
2020-01-04 12:00:00,119.4,119.59,119.4,119.59,1.95628
2020-01-04 12:30:00,119.29,119.29,119.29,119.29,0.14151
2020-01-04 13:00:00,119.29,119.29,119.29,119.29,0.0
2020-01-04 13:30:00,119.29,119.29,119.29,119.29,0.0
2020-01-04 14:00:00,119.29,119.29,119.29,119.29,0.0
2020-01-04 14:30:00,119.29,119.29,119.29,119.29,0.0
2020-01-04 15:00:00,119.29,119.29,119.29,119.29,0.0
2020-01-04 15:30:00,119.29,119.29,119.29,119.29,0.0
2020-01-04 16:00:00,119.29,119.29,119.29,119.29,0.39216
2020-01-04 16:30:00,119.29,119.29,119.29,119.29,0.43682
